event_match_index,event_origin_col_index,shot_context,event_angle,event_end_x,receiver_name,assisted_shot,event_x,possession_loss,account_id,qualifier_pass_height,shot_outcome,qualifier_cross,opponent_team_name,shot_angle,shot_distance,season_id,key_pass_type,opponent_team_id,event_end_cell_number,event_id,event_end_y,event_y,home_team_name,match_date,competition_name,event_end_col_index,passer_id,team_score,home_game,passer_name,event_origin_cell_number,event_minute,receiver_id,opposition_score,possession_xg_total,qualifier_own_goal,competition_id,match_id,body_part,play_type,possession_index,period_id,event_origin_row_index,under_pressure,team_id,event_length,away_team_name,event_type,off_camera,team_name,season_name,event_outcome,event_end_row_index,shot_xg
2176,4,Open Play,null,21.046429,null,FALSE,21.675,none,18028,null,None,FALSE,ONS,null,null,1107,Other,942464,24,1631865793,15.414722,10.725833,ONS,2023-05-14T14:00:00.000Z,Kansallinen Liiga,4,14176198,1,FALSE,Ida Heikkinen,24,53,null,0,0,FALSE,2460,9790523,Other,Open Play,114,2,4,FALSE,812581,null,Honka W,carry,FALSE,Honka W,2023,TRUE,4,0
2177,4,Open Play,0.3011879,39.510715,Elli Esteri Seiro,FALSE,21.046429,none,18028,Ground Pass,None,FALSE,ONS,null,null,1107,Other,942464,19,1631865794,6.8575,15.414722,ONS,2023-05-14T14:00:00.000Z,Kansallinen Liiga,4,14176198,1,FALSE,Ida Heikkinen,24,53,14176199,0,0,FALSE,2460,9790523,Right Foot,Open Play,114,2,4,FALSE,812581,24.607723,Honka W,pass,FALSE,Honka W,2023,TRUE,3,0
2566,4,Open Play,6.0012207,44.38214,Elli Esteri Seiro,FALSE,24.582144,in-play,18028,Ground Pass,None,FALSE,ONS,null,null,1107,Other,942464,19,1631866183,17.99361,9.436389,ONS,2023-05-14T14:00:00.000Z,Kansallinen Liiga,4,14176198,2,FALSE,Ida Heikkinen,24,65,14176199,0,0,FALSE,2460,9790523,Right Foot,Open Play,143,2,4,FALSE,812581,26.236044,Honka W,pass,FALSE,Honka W,2023,FALSE,3,0
2630,2,Open Play,null,20.182142,null,FALSE,17.510714,none,18028,null,None,FALSE,ONS,null,null,1107,Other,942464,22,1631866247,43.994,50.198,ONS,2023-05-14T14:00:00.000Z,Kansallinen Liiga,2,14176190,2,FALSE,Sofia Manner,22,66,null,0,0,FALSE,2460,9790523,Other,Open Play,148,2,4,FALSE,812581,null,Honka W,carry,FALSE,Honka W,2023,TRUE,4,0
2631,2,Open Play,5.991064,63.55357,Noora Juusela,FALSE,20.182142,in-play,18028,High Pass,None,FALSE,ONS,null,null,1107,Other,942464,11,1631866248,65.88208,43.994,ONS,2023-05-14T14:00:00.000Z,Kansallinen Liiga,1,14176190,2,FALSE,Sofia Manner,22,66,14176192,0,0,FALSE,2460,9790523,Right Foot,Open Play,148,2,4,FALSE,812581,57.642,Honka W,pass,FALSE,Honka W,2023,FALSE,2,0
2737,3,Open Play,null,23.717857,null,FALSE,17.117857,none,18028,null,None,FALSE,ONS,null,null,1107,Other,942464,23,1631866354,32.67875,31.239584,ONS,2023-05-14T14:00:00.000Z,Kansallinen Liiga,3,14176188,2,FALSE,Dakota Chan,23,68,null,0,0,FALSE,2460,9790523,Other,Open Play,153,2,4,FALSE,812581,null,Honka W,carry,FALSE,Honka W,2023,TRUE,4,0
2738,3,Open Play,5.1000586,27.567858,Eevi Sutela,FALSE,23.717857,none,18028,Ground Pass,None,FALSE,ONS,null,null,1107,Other,942464,22,1631866355,48.482,32.67875,ONS,2023-05-14T14:00:00.000Z,Kansallinen Liiga,2,14176188,2,FALSE,Dakota Chan,23,68,14176191,0,0,FALSE,2460,9790523,Right Foot,Open Play,153,2,4,FALSE,812581,12.961867,Honka W,pass,FALSE,Honka W,2023,TRUE,4,0
2740,2,Open Play,null,30.082144,null,FALSE,27.567858,none,18028,null,None,FALSE,ONS,null,null,1107,Other,942464,22,1631866357,56.138,48.482,ONS,2023-05-14T14:00:00.000Z,Kansallinen Liiga,2,14176191,2,FALSE,Eevi Sutela,22,68,null,0,0,FALSE,2460,9790523,Other,Open Play,153,2,4,TRUE,812581,null,Honka W,carry,FALSE,Honka W,2023,TRUE,4,0
2743,2,Open Play,4.869986,33.30357,Inka Kaivola,FALSE,30.082144,none,18028,Ground Pass,None,FALSE,ONS,null,null,1107,Other,942464,20,1631866360,88.805275,56.138,ONS,2023-05-14T14:00:00.000Z,Kansallinen Liiga,0,14176191,2,FALSE,Eevi Sutela,22,68,14176185,0,0,FALSE,2460,9790523,Right Foot,Open Play,153,2,4,TRUE,812581,26.123743,Honka W,pass,FALSE,Honka W,2023,TRUE,4,0
2745,0,Open Play,null,33.775,null,FALSE,33.30357,none,18028,null,None,FALSE,ONS,null,null,1107,Other,942464,15,1631866362,92.321945,88.805275,ONS,2023-05-14T14:00:00.000Z,Kansallinen Liiga,0,14176185,2,FALSE,Inka Kaivola,20,68,null,0,0,FALSE,2460,9790523,Other,Open Play,153,2,4,FALSE,812581,null,Honka W,carry,FALSE,Honka W,2023,TRUE,3,0
2767,2,Open Play,0.5321119,45.560715,Ida Heikkinen,FALSE,19.00357,none,18028,Ground Pass,None,FALSE,ONS,null,null,1107,Other,942464,19,1631866384,15.180278,40.562,ONS,2023-05-14T14:00:00.000Z,Kansallinen Liiga,4,14176190,2,FALSE,Sofia Manner,22,69,14176198,0,0,FALSE,2460,9790523,Right Foot,Open Play,153,2,4,FALSE,812581,39.22308,Honka W,pass,FALSE,Honka W,2023,TRUE,3,0
3368,2,Open Play,null,null,null,FALSE,10.5025,none,18028,null,None,FALSE,ONS,null,null,1107,Other,942464,null,1631866985,null,47.954,ONS,2023-05-14T14:00:00.000Z,Kansallinen Liiga,null,14176195,2,FALSE,Daniela Sandås,27,88,null,0,0,FALSE,2460,9790523,Other,Open Play,187,2,5,FALSE,812581,null,Honka W,pressure,FALSE,Honka W,2023,TRUE,null,0
3354,2,Open Play,null,null,null,FALSE,31.967857,none,18028,null,None,FALSE,ONS,null,null,1107,Other,942464,null,1631866971,null,49.274,ONS,2023-05-14T14:00:00.000Z,Kansallinen Liiga,null,14176195,2,FALSE,Daniela Sandås,22,88,null,0,0,FALSE,2460,9790523,Other,Open Play,187,2,4,FALSE,812581,null,Honka W,ball_recovery,FALSE,Honka W,2023,TRUE,null,0
3344,1,Open Play,null,null,null,FALSE,32.910713,none,18028,null,None,FALSE,ONS,null,null,1107,Other,942464,null,1631866961,null,61.154,ONS,2023-05-14T14:00:00.000Z,Kansallinen Liiga,null,14176194,2,FALSE,Venla Lamberg,21,88,null,0,0,FALSE,2460,9790523,Other,Open Play,187,2,4,FALSE,812581,null,Honka W,pressure,FALSE,Honka W,2023,TRUE,null,0
3335,1,Open Play,null,null,null,FALSE,31.417856,none,18028,null,None,FALSE,ONS,null,null,1107,Other,942464,null,1631866952,null,65.35875,ONS,2023-05-14T14:00:00.000Z,Kansallinen Liiga,null,14176194,2,FALSE,Venla Lamberg,21,88,null,0,0,FALSE,2460,9790523,Other,Open Play,187,2,4,FALSE,812581,null,Honka W,ball_recovery,FALSE,Honka W,2023,TRUE,null,0
3065,4,Open Play,null,null,null,FALSE,20.182142,none,18028,null,None,FALSE,ONS,null,null,1107,Other,942464,null,1631866682,null,8.381389,ONS,2023-05-14T14:00:00.000Z,Kansallinen Liiga,null,14176187,2,FALSE,Matilda Kuusniemi-Fishwick,24,79,null,0,0,FALSE,2460,9790523,Other,Open Play,168,2,4,FALSE,812581,null,Honka W,challenge,FALSE,Honka W,2023,FALSE,null,0
3064,4,Open Play,null,null,null,FALSE,20.339285,none,18028,null,None,FALSE,ONS,null,null,1107,Other,942464,null,1631866681,null,9.201944,ONS,2023-05-14T14:00:00.000Z,Kansallinen Liiga,null,14176187,2,FALSE,Matilda Kuusniemi-Fishwick,24,79,null,0,0,FALSE,2460,9790523,Other,Open Play,168,2,4,FALSE,812581,null,Honka W,pressure,FALSE,Honka W,2023,TRUE,null,0
3061,4,Open Play,null,null,null,FALSE,29.610714,none,18028,null,None,FALSE,ONS,null,null,1107,Other,942464,null,1631866678,null,14.711389,ONS,2023-05-14T14:00:00.000Z,Kansallinen Liiga,null,14176198,2,FALSE,Ida Heikkinen,24,79,null,0,0,FALSE,2460,9790523,Other,Open Play,168,2,4,FALSE,812581,null,Honka W,challenge,FALSE,Honka W,2023,FALSE,null,0
3054,3,Open Play,null,null,null,FALSE,23.167856,none,18028,null,None,FALSE,ONS,null,null,1107,Other,942464,null,1631866671,null,27.314583,ONS,2023-05-14T14:00:00.000Z,Kansallinen Liiga,null,14176187,2,FALSE,Matilda Kuusniemi-Fishwick,23,78,null,0,0,FALSE,2460,9790523,Other,Open Play,168,2,4,FALSE,812581,null,Honka W,ball_recovery,FALSE,Honka W,2023,TRUE,null,0
3050,3,Open Play,null,null,null,FALSE,25.210714,none,18028,null,None,FALSE,ONS,null,null,1107,Other,942464,null,1631866667,null,26.529583,ONS,2023-05-14T14:00:00.000Z,Kansallinen Liiga,null,14176191,2,FALSE,Eevi Sutela,23,78,null,0,0,FALSE,2460,9790523,Other,Open Play,168,2,4,FALSE,812581,null,Honka W,pressure,FALSE,Honka W,2023,TRUE,null,0
3037,1,Open Play,null,null,null,FALSE,26.860714,none,18028,null,None,FALSE,ONS,null,null,1107,Other,942464,null,1631866654,null,70.722916,ONS,2023-05-14T14:00:00.000Z,Kansallinen Liiga,null,14176188,2,FALSE,Dakota Chan,21,78,null,0,0,FALSE,2460,9790523,Other,Open Play,168,2,4,FALSE,812581,null,Honka W,pressure,FALSE,Honka W,2023,TRUE,null,0
3029,0,Open Play,null,null,null,FALSE,20.49643,none,18028,null,None,FALSE,ONS,null,null,1107,Other,942464,null,1631866646,null,92.90806,ONS,2023-05-14T14:00:00.000Z,Kansallinen Liiga,null,14176185,2,FALSE,Inka Kaivola,20,78,null,0,0,FALSE,2460,9790523,Other,Open Play,168,2,4,FALSE,812581,null,Honka W,ball_recovery,FALSE,Honka W,2023,TRUE,null,0
2970,4,Open Play,null,null,null,FALSE,14.020833,none,18028,null,None,FALSE,ONS,null,null,1107,Other,942464,null,1631866587,null,8.381389,ONS,2023-05-14T14:00:00.000Z,Kansallinen Liiga,null,14176195,2,FALSE,Daniela Sandås,29,77,null,0,0,FALSE,2460,9790523,Other,Open Play,166,2,5,FALSE,812581,null,Honka W,pressure,FALSE,Honka W,2023,TRUE,null,0
2912,3,Open Play,null,null,null,FALSE,32.596428,none,18028,null,None,FALSE,ONS,null,null,1107,Other,942464,null,1631866529,null,28.492083,ONS,2023-05-14T14:00:00.000Z,Kansallinen Liiga,null,14176195,2,FALSE,Daniela Sandås,23,76,null,0,0,FALSE,2460,9790523,Other,Open Play,164,2,4,FALSE,812581,null,Honka W,ball_recovery,FALSE,Honka W,2023,TRUE,null,0
2864,4,Open Play,null,null,null,FALSE,31.417856,none,18028,null,None,FALSE,ONS,null,null,1107,Other,942464,null,1631866481,null,11.663611,ONS,2023-05-14T14:00:00.000Z,Kansallinen Liiga,null,14176185,2,FALSE,Inka Kaivola,24,74,null,0,0,FALSE,2460,9790523,Other,Open Play,161,2,4,FALSE,812581,null,Honka W,pressure,FALSE,Honka W,2023,TRUE,null,0
2857,2,Open Play,null,null,null,FALSE,18.296429,none,18028,null,None,FALSE,ONS,null,null,1107,Other,942464,null,1631866474,null,48.746,ONS,2023-05-14T14:00:00.000Z,Kansallinen Liiga,null,14176188,2,FALSE,Dakota Chan,22,73,null,0,0,FALSE,2460,9790523,Other,Open Play,161,2,4,TRUE,812581,null,Honka W,ball_recovery,FALSE,Honka W,2023,TRUE,null,0
2843,3,Open Play,null,null,null,FALSE,6.2275,none,18028,null,None,FALSE,ONS,null,null,1107,Other,942464,null,1631866460,null,36.080418,ONS,2023-05-14T14:00:00.000Z,Kansallinen Liiga,null,14176199,2,FALSE,Elli Esteri Seiro,28,73,null,0,0,FALSE,2460,9790523,Other,Open Play,160,2,5,FALSE,812581,null,Honka W,ball_recovery,FALSE,Honka W,2023,TRUE,null,0
2840,4,Open Play,null,null,null,FALSE,8.0325,none,18028,null,None,FALSE,ONS,null,null,1107,Other,942464,null,1631866457,null,19.98639,ONS,2023-05-14T14:00:00.000Z,Kansallinen Liiga,null,14176201,2,FALSE,Wilma Sjöholm,29,73,null,0,0,FALSE,2460,9790523,Other,Open Play,160,2,5,FALSE,812581,null,Honka W,pressure,FALSE,Honka W,2023,TRUE,null,0
2830,3,Open Play,null,null,null,FALSE,23.717857,none,18028,null,None,FALSE,ONS,null,null,1107,Other,942464,null,1631866447,null,20.220833,ONS,2023-05-14T14:00:00.000Z,Kansallinen Liiga,null,14176199,2,FALSE,Elli Esteri Seiro,23,72,null,0,0,FALSE,2460,9790523,Other,Open Play,159,2,4,FALSE,812581,null,Honka W,pressure,FALSE,Honka W,2023,TRUE,null,0
2829,4,Open Play,null,null,null,FALSE,22.225,none,18028,null,None,FALSE,ONS,null,null,1107,Other,942464,null,1631866446,null,18.4625,ONS,2023-05-14T14:00:00.000Z,Kansallinen Liiga,null,14176199,2,FALSE,Elli Esteri Seiro,24,72,null,0,0,FALSE,2460,9790523,Other,Open Play,159,2,4,FALSE,812581,null,Honka W,ball_touch,FALSE,Honka W,2023,FALSE,null,0
2825,3,Open Play,null,null,null,FALSE,14.6625,none,18028,null,None,FALSE,ONS,null,null,1107,Other,942464,null,1631866442,null,32.417084,ONS,2023-05-14T14:00:00.000Z,Kansallinen Liiga,null,14176195,2,FALSE,Daniela Sandås,28,72,null,0,0,FALSE,2460,9790523,Other,Open Play,159,2,5,FALSE,812581,null,Honka W,ball_recovery,FALSE,Honka W,2023,TRUE,null,0
2816,2,Open Play,null,null,null,FALSE,32.282143,none,18028,null,None,FALSE,ONS,null,null,1107,Other,942464,null,1631866433,null,43.598,ONS,2023-05-14T14:00:00.000Z,Kansallinen Liiga,null,14176188,2,FALSE,Dakota Chan,22,72,null,0,0,FALSE,2460,9790523,Other,Open Play,158,2,4,FALSE,812581,null,Honka W,pressure,FALSE,Honka W,2023,TRUE,null,0
2736,3,Open Play,null,null,null,FALSE,17.117857,none,18028,null,None,FALSE,ONS,null,null,1107,Other,942464,null,1631866353,null,31.239584,ONS,2023-05-14T14:00:00.000Z,Kansallinen Liiga,null,14176188,2,FALSE,Dakota Chan,23,68,null,0,0,FALSE,2460,9790523,Other,Open Play,153,2,4,FALSE,812581,null,Honka W,ball_recovery,FALSE,Honka W,2023,TRUE,null,0
